accuracy	nps
0.9092759442	position estimation
0.9090002086	high efficiency
0.9088879860	traffic flow
0.9085720672	spectrum sharing
0.9085372694	gas turbine
0.9084321333	wind farm
0.9083829887	project management
0.9083732112	silicon photonics
0.9083691621	partial discharge
0.9082659368	target detection
0.9081121294	generative adversarial networks
0.9080078193	high temperature
0.9079069067	energy harvesting
0.9076337006	ground plane
0.9075976236	technical program
0.9074250944	cuckoo search algorithm
0.9073478094	wind speed
0.9071456989	neural network
0.9070918002	virtual machines
0.9069826233	convex optimization
0.9069797520	short circuit
0.9069722228	transfer function
0.9067445775	light field
0.9067292361	business process
0.9066857466	power grid
0.9066333860	genetic programming
0.9065882713	horn antenna
0.9065286489	data center
0.9062511090	automotive radar
0.9062434922	dictionary learning
0.9061113616	fault location
0.9059112043	edge detection
0.9059067452	video coding
0.9058951178	data analytics
0.9055595921	d2d communications
0.9054807888	mimo radar
0.9054706938	support vector machine
0.9054251058	eeg signals
0.9054225930	open source
0.9054095764	high gain
0.9053123990	torque ripple
0.9053004731	eeg signal
0.9052037667	integrated circuits
0.9050447244	design space exploration
0.9049447198	web services
0.9048687809	image classification
0.9048101144	unmanned aerial vehicles
0.9047137295	user experience
0.9046054342	energy internet
0.9045975309	network coding
0.9045067255	community detection
0.9044728618	game theory
0.9044198402	software defined radio
0.9040823731	dual band
0.9040320466	high voltage
0.9039347340	microwave imaging
0.9039261779	artificial intelligence
0.9038982131	web service
0.9038667527	delay tolerant networks
0.9037610773	base station
0.9037116497	motion estimation
0.9036299516	common mode
0.9035601055	cyber physical systems
0.9035373728	event detection
0.9034773585	mobile devices
0.9034322831	kalman filtering
0.9031246398	optimal power flow
0.9030356988	induction motor drives
0.9030244039	decision tree
0.9030170050	bandpass filter
0.9029939503	conference committee
0.9028965159	load balancing
0.9027770512	ecg signal
0.9026982333	hand gesture recognition
0.9026956025	random forest
0.9024174360	mutual coupling
0.9023179914	high order
0.9022360194	high resolution
0.9022306181	permanent magnet synchronous machine
0.9021509064	wind energy
0.9020180883	synchronous generator
0.9018395358	substrate integrated waveguide
0.9018140880	wind turbine
0.9017956224	data centers
0.9017928079	collaborative filtering
0.9016898516	quality assessment
0.9016296848	photoacoustic imaging
0.9014332135	refractive index
0.9012867063	image watermarking
0.9011544883	power plants
0.9010850848	mobile edge computing
0.9010724114	target recognition
0.9010280506	text classification
0.9010240425	supply chain
0.9006294294	mobile phone
0.9005214260	wireless mesh networks
0.9003791098	phase shifter
0.9003464689	synchronous generators
0.9002928682	switched reluctance motor
0.9002118893	sic mosfet
0.9000895115	model predictive control
0.9000412131	battery storage
0.8999651091	blood pressure
0.8999325989	case study
0.8998531621	image fusion
0.8997923987	femtosecond laser
0.8997516152	machine translation
0.8996431616	distribution network
0.8995642294	output feedback
0.8995629490	collision avoidance
0.8994384732	space charge
0.8994204484	wireless sensor nodes
0.8993548609	risk assessment
0.8992072360	wide band
0.8990162646	semantic segmentation
0.8988985170	breast cancer
0.8988519306	satellite communications
0.8988239688	remote sensing images
0.8986751328	droop control
0.8986228040	doppler radar
0.8985315162	induction generator
0.8984312240	massive mimo
0.8983000916	sensor fusion
0.8982560257	dual polarized
0.8982433793	convolutional neural networks
0.8980773225	task scheduling
0.8979806785	unmanned aerial vehicle
0.8979633737	error correction
0.8978028083	independent component analysis
0.8977762441	frequency response
0.8975676984	software defined
0.8975250763	dc microgrids
0.8974901488	neural networks
0.8974782276	field effect transistor
0.8974514439	frequency comb
0.8973014109	electrical machines
0.8971971337	bluetooth low energy
0.8968588460	distributed energy resources
0.8967682702	silicon nitride
0.8966625556	ant colony optimization
0.8964543796	low temperature
0.8964156581	image encryption
0.8963944286	intrusion detection
0.8962544186	automated driving
0.8962370664	satellite images
0.8962150081	permanent magnet synchronous motor
0.8960488010	sign language recognition
0.8960013565	obstacle avoidance
0.8957616974	software development
0.8955288422	autonomous underwater vehicles
0.8954922777	visible light communications
0.8953864596	performance evaluation
0.8953398635	high speed
0.8951109524	program committee
0.8951074435	human action recognition
0.8950881418	speaker recognition
0.8949727010	photonic crystal fiber
0.8949616057	rbf neural network
0.8948450157	small cell
0.8946852934	radiation pattern
0.8946551677	domain adaptation
0.8944453216	electric drives
0.8942720907	hyperspectral image
0.8941093489	ultrasound imaging
0.8940473767	space vector modulation
0.8939306601	bearing fault diagnosis
0.8938640369	control strategy
0.8937063498	doubly fed induction generator
0.8936912804	low latency
0.8935743350	deep neural network
0.8934736609	shear wave
0.8934355896	distributed generation
0.8933489719	small cells
0.8933422995	maximum power point tracking
0.8933317297	wind farms
0.8931344282	ant colony algorithm
0.8930949301	attitude estimation
0.8930116620	power modules
0.8927809176	social network
0.8927308492	sea surface
0.8926949276	transient stability
0.8926729126	decision making
0.8926668173	finite element method
0.8926127649	mobility management
0.8924915957	shunt active power filter
0.8923998393	support vector regression
0.8923996404	graphene oxide
0.8921467347	leakage current
0.8919771913	thermal management
0.8918730107	robotic arm
0.8918183363	permanent magnet
0.8916898805	solar pv
0.8916277353	active disturbance rejection control
0.8915843282	cloud services
0.8915800057	impedance matching
0.8914900982	cognitive radio networks
0.8914369161	single phase
0.8913607520	facial expression recognition
0.8912777177	physical layer security
0.8912380923	power transformers
0.8912284180	battery charging
0.8911557321	blank page
0.8911150731	fault tolerant
0.8910731751	deep convolutional neural networks
0.8910310971	optical coherence tomography
0.8909028145	trajectory optimization
0.8909010183	engineering students
0.8908795023	bldc motor
0.8907473974	optical flow
0.8907294750	pmsm drive
0.8906896701	point cloud
0.8906636437	natural gas
0.8905953198	physical layer
0.8905707333	high density
0.8905523785	reliability assessment
0.8905511319	frequency domain
0.8905077054	visual tracking
0.8903949266	high frequency
0.8903514408	silicon carbide
0.8903354538	feature fusion
0.8902994250	software defined networking
0.8900422803	direct torque control
0.8900086003	ac dc converter
0.8899973894	autonomous underwater vehicle
0.8899363179	band pass filter
0.8898935548	gate driver
0.8897797930	voltage source inverter
0.8897676958	air quality
0.8896135382	access point
0.8892323194	low complexity
0.8890092140	home automation
0.8888814812	virtual machine
0.8888342762	additive manufacturing
0.8886510222	fully integrated
0.8885910274	voltage regulation
0.8884874340	channel state information
0.8883275625	permanent magnet synchronous generator
0.8882984998	electromagnetic fields
0.8882196998	character recognition
0.8881870492	power quality improvement
0.8880237631	photonic crystal
0.8878781485	energy saving
0.8878492158	phased arrays
0.8878021799	visual analytics
0.8877689644	passive radar
0.8877431137	gas sensor
0.8876583159	virtual machine placement
0.8875893621	approximate computing
0.8875241945	point clouds
0.8874779241	sliding mode control
0.8874061423	particle filtering
0.8873815267	extended state observer
0.8873119569	covariance matrix
0.8872912383	title page
0.8871610273	text mining
0.8871506642	tactile sensor
0.8869595646	threshold voltage
0.8868269207	blind source separation
0.8865780651	magnetic fields
0.8865076544	wireless sensor network
0.8864338344	power amplifiers
0.8864007891	multilevel converter
0.8863760961	image restoration
0.8863670838	fault injection
0.8862952721	sar images
0.8862134876	human motion
0.8862096247	location privacy
0.8861763699	low loss
0.8860481753	design considerations
0.8860468489	active power filter
0.8860189623	health care
0.8860078686	modular multilevel converter
0.8859857543	low noise amplifier
0.8858464908	medical image
0.8855557973	visible light
0.8854926623	autonomous driving
0.8854842028	wireless sensor networks
0.8852165361	congestion control
0.8851128305	traffic light
0.8850315616	focused ultrasound
0.8849797481	modular multilevel converters
0.8849499498	offshore wind
0.8849043941	differential privacy
0.8848669950	low rank
0.8847758238	asynchronous motor
0.8847723886	special session
0.8847476810	extreme learning machine
0.8847153392	variable speed
0.8847135622	source localization
0.8846084443	dual active bridge converter
0.8845872157	elastic optical networks
0.8845501240	salient object detection
0.8845152487	high power density
0.8845055919	hidden markov model
0.8844962561	dc link
0.8844382843	quantum dots
0.8843952268	autonomous vehicle
0.8842957948	author index
0.8840210839	fault tolerance
0.8840130355	loop antenna
0.8839845034	defect detection
0.8839623462	short term load forecasting
0.8838679467	social networks
0.8836872781	field effect transistors
0.8833669590	machine learning algorithms
0.8832947981	gan hemt
0.8832058110	energy efficient
0.8831819354	radar cross section
0.8831299645	noise suppression
0.8830844615	millimeter wave
0.8830184980	carbon nanotube
0.8830142494	capacitor voltage balancing
0.8829485179	load forecasting
0.8829435894	magnetic properties
0.8828739613	fuzzy logic controller
0.8827855177	fiber optic
0.8827770783	route planning
0.8826399082	supervised learning
0.8825195210	high level synthesis
0.8824815820	rf energy harvesting
0.8824548262	local search
0.8824253549	equivalent circuit
0.8824127120	steering committee
0.8822177639	base stations
0.8821330871	program chairs
0.8820471086	source separation
0.8820356611	gaussian process
0.8819505179	mutual information
0.8818853252	d2d communication
0.8818831611	heart rate variability
0.8818582134	fir filter
0.8818362123	deep convolutional neural network
0.8817891805	monopole antenna
0.8815844467	energy harvester
0.8815834954	image quality assessment
0.8815084426	stroke patients
0.8814038818	model order reduction
0.8813926290	active damping
0.8813261021	high dynamic range
0.8812956252	quantum key distribution
0.8812909221	evolutionary algorithm
0.8812568472	fractional order
0.8812411040	alzheimer's disease
0.8811741269	ultra wideband
0.8811692080	live demonstration
0.8810869485	network function virtualization
0.8809087758	augmented reality
0.8808037831	printed circuit board
0.8808022424	pulse compression
0.8803738241	satellite communication
0.8803613519	gaussian process regression
0.8803435071	information security
0.8802740897	particle swarm
0.8802428652	trajectory planning
0.8801858666	human robot interaction
0.8801777032	wide area
0.8801422651	electricity consumption
0.8801172676	visual attention
0.8799264321	user interface
0.8798604468	obstacle detection
0.8798579208	gas sensing
0.8798239843	photonic crystals
0.8798029547	higher order
0.8797732772	slot antenna
0.8795871278	sar imagery
0.8795746600	low pass filter
0.8795616174	vehicular networks
0.8794509985	radio frequency
0.8794364080	plane wave
0.8792887674	path loss
0.8792813826	low cost
0.8792645157	super resolution
0.8791475643	task allocation
0.8789645539	control strategies
0.8788810565	knowledge management
0.8788484021	bandwidth allocation
0.8788178776	field emission
0.8788097237	multiple access
0.8787722928	fmcw radar
0.8787700268	phase shift
0.8787212468	pmsm drives
0.8787150287	real world
0.8787059850	demo abstract
0.8786796852	iris recognition
0.8786426734	highly sensitive
0.8786289627	lithium niobate
0.8786059369	inertial sensors
0.8785932905	requirements engineering
0.8785120362	petri nets
0.8785077846	sign language
0.8784785294	discrete wavelet transform
0.8783359986	solid state
0.8783083548	reflector antenna
0.8782164105	quantum dot
0.8782024709	canonical correlation analysis
0.8781466173	phase locked loop
0.8781380543	ad hoc networks
0.8781129395	sparse coding
0.8780783765	battery charger
0.8780601384	power factor
0.8780471180	mac protocol
0.8779114975	state feedback
0.8778040827	environmental monitoring
0.8777769835	aerial vehicles
0.8777370329	privacy preserving
0.8776219641	circularly polarized
0.8775173032	hyperspectral imaging
0.8773850319	solar energy
0.8773807306	medical images
0.8771988498	reduced order
0.8770853538	solar powered
0.8769900025	diesel engine
0.8769449202	interference mitigation
0.8769335459	encryption scheme
0.8769133875	direct current
0.8766736683	large scale
0.8766663182	humanoid robots
0.8766106132	mobile app
0.8763473515	acoustic emission
0.8763468046	natural language
0.8762493638	stream processing
0.8762427791	orbital angular momentum
0.8762384639	electromagnetic waves
0.8761922311	dynamic programming
0.8761773201	inverted pendulum
0.8760177542	frequency selective surfaces
0.8760161492	ring resonator
0.8758714851	secure communication
0.8758620942	deep belief network
0.8758279580	wave propagation
0.8757964765	supervised machine learning
0.8757179457	case studies
0.8756093990	temporal logic
0.8755675504	hyperspectral image classification
0.8755189271	ka band
0.8753927953	magnetic bearing
0.8753898082	polar codes
0.8753473209	dielectric resonator antenna
0.8753283181	economic dispatch
0.8752804177	switched capacitor
0.8751503361	fiber bragg grating
0.8751272960	high accuracy
0.8750289927	experimental results
0.8750112195	low frequency
0.8749323682	video surveillance
0.8748720374	light emitting diodes
0.8746864345	linear discriminant analysis
0.8746776619	dc dc converters
0.8745608679	optical parametric oscillator
0.8744979484	semantic web
0.8744368728	user association
0.8744214040	cooperative spectrum sensing
0.8744104062	flash memory
0.8743552545	impulse response
0.8743128010	wireless power transmission
0.8741866463	circuit breaker
0.8740763958	stereo vision
0.8739478106	depth estimation
0.8739250170	fall detection
0.8738726458	ultra low power
0.8737639565	linear regression
0.8737438669	upper limb
0.8737241752	software defined networks
0.8736897402	support vector machines
0.8736064995	low phase noise
0.8736059250	single photon
0.8735896134	torque ripple reduction
0.8735676296	modular multilevel
0.8734803473	power flow
0.8733820298	power generation
0.8733236168	solar photovoltaic
0.8732922159	circular polarization
0.8732362075	synthetic aperture
0.8732191782	power line communication
0.8732053312	pi controller
0.8730981847	wireless charging
0.8730871125	electric power
0.8730413050	ray tracing
0.8728457200	heterogeneous networks
0.8727876562	injection locked
0.8727799139	transfer functions
0.8727230322	electrical impedance tomography
0.8726138721	finite element analysis
0.8726108806	liquid crystal
0.8726094833	surface plasmon resonance
0.8724737085	ldpc codes
0.8724300020	fourier transform
0.8723353475	long term
0.8722796898	fully convolutional networks
0.8722578950	sar imaging
0.8722202442	sic mosfets
0.8722063991	multi objective
0.8721906011	structural health monitoring
0.8720120717	swarm intelligence
0.8720036500	dynamic spectrum access
0.8719827787	closed loop
0.8718291062	data processing
0.8717423016	machine vision
0.8717028729	ring oscillator
0.8717015942	user authentication
0.8716635801	high throughput
0.8716261409	solar power
0.8715790893	matlab simulink
0.8715208350	dynamic voltage restorer
0.8714938045	predictive analytics
0.8714834614	evolutionary algorithms
0.8714665310	multi agent
0.8714434756	discrete event simulation
0.8714142203	solar radiation
0.8714111123	ac dc
0.8713402236	lithium ion battery
0.8713178367	traffic congestion
0.8712024569	moving target
0.8710683905	laser diodes
0.8709985929	output power
0.8706352214	transmit antenna selection
0.8704708568	indoor environments
0.8704486481	wheeled mobile robot
0.8704338526	petri net
0.8704312145	differential evolution algorithm
0.8702156489	photonic integrated circuits
0.8701720403	sar adc
0.8701214221	lcl filter
0.8699965669	information fusion
0.8699541871	preliminary results
0.8699497505	indoor navigation
0.8697775287	led driver
0.8697659848	stereo matching
0.8697210274	interference alignment
0.8696474633	phased array antenna
0.8695368556	high precision
0.8694093175	filter bank
0.8694058768	buck boost converter
0.8692463430	sliding mode controller
0.8691391187	variable gain
0.8691195179	steady state
0.8690596616	finite element
0.8689783805	discrete event systems
0.8689635359	mixed reality
0.8689481215	sea ice
0.8689289578	state space
0.8689200806	software architecture
0.8688816545	visually impaired
0.8688500692	loss reduction
0.8687915209	cmos image sensor
0.8687868920	bandpass filters
0.8687326461	gaussian mixture model
0.8687295116	quality factor
0.8684535291	cost effective
0.8683281291	cyber physical
0.8682882789	frequency synthesizer
0.8682522502	empirical mode decomposition
0.8682306347	product development
0.8682256491	gait recognition
0.8680828203	organizing committee
0.8680534019	permanent magnet synchronous motors
0.8680330636	virtual synchronous generator
0.8679275918	performance improvement
0.8679173061	wind power generation
0.8679115862	output voltage
0.8679059822	unknown input
0.8678272585	visual servoing
0.8677996366	fuzzy clustering
0.8676336065	wireless networks
0.8675985229	fraud detection
0.8675795847	mm wave
0.8674803430	packet loss
0.8674182691	power module
0.8673464585	dc link voltage
0.8673395951	continuous wave
0.8672801665	markov chain
0.8671120733	doherty power amplifier
0.8671089497	solid state transformer
0.8669782275	keynote speech
0.8666879592	cascaded multilevel inverter
0.8666676986	activity detection
0.8665186596	android application
0.8664877718	business intelligence
0.8664421069	service composition
0.8663276205	electronic devices
0.8663248548	particle swarm optimization algorithm
0.8662950374	data collection
0.8661998883	authors index
0.8661711118	traveling wave
0.8661258813	ddos attacks
0.8661233009	raspberry pi
0.8660746536	sepic converter
0.8660133643	eye tracking
0.8658755357	keyword search
0.8658167958	power electronic
0.8657929191	conference organization
0.8657548378	disturbance rejection
0.8656942791	content based image retrieval
0.8656849587	power divider
0.8656634759	split ring resonator
0.8653781127	low power
0.8653136810	wireless body area networks
0.8652957933	cmos technology
0.8652322331	pfc converter
0.8652313502	resource scheduling
0.8652297438	event triggered
0.8651841118	model predictive controller
0.8651260911	cellular network
0.8650899344	distribution networks
0.8648953081	attitude control
0.8648921834	optimization problems
0.8646847428	unscented kalman filter
0.8645803976	gallium nitride
0.8644329850	heat exchanger
0.8644129839	ev charging
0.8644058741	high sensitivity
0.8644033640	reflectarray antenna
0.8642379377	electrically small
0.8642261282	query processing
0.8642116233	molecular dynamics
0.8641126591	transformer oil
0.8641035260	ku band
0.8640801044	voltage source converter
0.8637379037	vehicular ad hoc networks
0.8637163057	life cycle
0.8636683859	highly efficient
0.8635782187	terminal sliding mode
0.8634285180	industrial automation
0.8634241042	direction of arrival estimation
0.8633501015	multi objective optimization
0.8631950540	business processes
0.8631516673	coupled inductor
0.8630419422	pulse generation
0.8630356725	computed tomography
0.8628066417	high performance
0.8627754463	ecg signals
0.8627081558	moving object detection
0.8626819007	haptic feedback
0.8626579287	short term
0.8625938336	pattern matching
0.8623052280	conference program
0.8623016502	air traffic
0.8622504877	saliency detection
0.8621232299	dc dc converter
0.8620431790	voltage regulator
0.8619437061	circuit breakers
0.8619149124	uwb antenna
0.8619023369	thermal resistance
0.8618574429	power electronic converters
0.8617079580	human pose estimation
0.8616956241	small scale
0.8616600686	iterative learning control
0.8616012192	micro grid
0.8615511074	association rule mining
0.8615390327	social networking
0.8614845158	weakly supervised
0.8614181899	permanent magnet synchronous machines
0.8613925021	inductive power transfer
0.8612255288	visual odometry
0.8611613719	frequency combs
0.8610535311	signal acquisition
0.8609900960	feedback linearization
0.8609854600	spectrum access
0.8609131917	information centric networking
0.8608913413	artificial bee colony algorithm
0.8608687612	ground penetrating radar
0.8608555053	android applications
0.8607458119	neuromorphic computing
0.8606951848	pv inverter
0.8606602717	temperature measurement
0.8606561650	mobile apps
0.8606330920	drug delivery
0.8606264520	embedded systems
0.8605770754	mimo systems
0.8605726181	electrical properties
0.8605464129	wafer level
0.8605397730	frequency range
0.8604650634	high performance computing
0.8604612712	radio telescope
0.8603522709	single crystal
0.8602773836	variable stiffness
0.8601963540	epoxy resin
0.8601598909	efficiency enhancement
0.8599136153	flip chip
0.8599015640	mid infrared
0.8598446389	quantum cascade laser
0.8597853086	force sensor
0.8596946280	low profile
0.8596848927	load frequency control
0.8596380941	facial recognition
0.8595174980	axial flux
0.8594356678	permanent magnets
0.8593975663	deep convolutional
0.8593779747	resource sharing
0.8592531022	local binary pattern
0.8591476254	dimension reduction
0.8591056091	space vector pwm
0.8590812263	selective harmonic elimination
0.8590778953	battery energy storage
0.8590593796	pulse width modulation
0.8589900477	predictive maintenance
0.8589756909	age estimation
0.8589640665	wearable devices
0.8589148907	mr images
0.8588583794	long short term memory
0.8588275722	conference committees
0.8588222269	optical interconnects
0.8588015316	polarimetric sar
0.8587785287	complex event processing
0.8586345484	moving objects
0.8585713773	wireless power transfer
0.8584067506	rotor position
0.8583995196	computation offloading
0.8583700055	stock market
0.8583575252	gaussian processes
0.8583129118	characteristic modes
0.8583035313	publish subscribe
0.8580888768	surface roughness
0.8580470199	road traffic
0.8580001772	dual active bridge
0.8579237733	video processing
0.8577285343	optical frequency comb
0.8575463541	acoustic radiation force
0.8575204209	power transformer
0.8574021401	graph theory
0.8572358854	optimization algorithm
0.8572001153	series elastic
0.8571672638	network traffic
0.8570629481	comprehensive evaluation
0.8570331465	ultra wide band
0.8569449827	mobile crowd sensing
0.8568033233	title page iii
0.8567594838	large area
0.8567502905	light source
0.8566703227	surface acoustic wave
0.8565642049	grating coupler
0.8565323277	interference suppression
0.8564100222	vital signs
0.8563668155	smart buildings
0.8562841339	representation learning
0.8562656367	quality assurance
0.8562302779	mode locked
0.8561656793	soft switching
0.8560767787	optical fibre
0.8559752463	sensor networks
0.8559479615	switching frequency
0.8557864384	printed circuit boards
0.8557550805	common mode voltage
0.8556382369	wind generator
0.8555124805	key management
0.8554782130	speed estimation
0.8554731199	apache spark
0.8554661594	parkinson's disease
0.8554470338	nonnegative matrix factorization
0.8553833865	room temperature
0.8552991624	sar image
0.8552892411	model checking
0.8551925732	optoelectronic oscillator
0.8551874748	pid controllers
0.8551286967	contrast enhancement
0.8550892293	cloud platform
0.8550774970	single stage
0.8548466349	pressure sensors
0.8548335541	speaker verification
0.8548254689	data acquisition
0.8548169780	decision trees
0.8547667756	model predictive
0.8547634027	shape memory alloy
0.8546084361	autonomous navigation
0.8543540098	natural language processing
0.8543268006	belief propagation
0.8543058917	fully convolutional
0.8542710086	public transport
0.8541102931	task assignment
0.8540997175	synchronous machines
0.8540789058	high dimensional
0.8540576066	angle estimation
0.8540213084	medical diagnosis
0.8538688980	silicone rubber
0.8538675203	land cover
0.8538430178	decision support
0.8538177945	copyright notice
0.8537611865	rate adaptation
0.8537164554	body area networks
0.8536821437	switched reluctance machine
0.8536770850	distribution grid
0.8535747554	multicore fiber
0.8535465324	complex networks
0.8533355260	cyber attacks
0.8533238554	rehabilitation robot
0.8532614354	vehicle routing problem
0.8532371061	pso algorithm
0.8532065579	waste management
0.8531642411	temperature sensor
0.8528509643	soft error
0.8528377926	coherent optical
0.8528158638	data fusion
0.8527941570	photovoltaic systems
0.8527390762	brain tumor
0.8526991765	loss minimization
0.8526919553	impulsive noise
0.8526582374	igbt module
0.8526440112	inertial measurement unit
0.8525539743	physical activity
0.8525535756	parameter extraction
0.8523939760	static analysis
0.8522721718	beam steering
0.8520492187	pid control
0.8520283840	context aware
0.8519938505	5g networks
0.8519473698	convolutional networks
0.8516674904	disaster response
0.8516469375	speed control
0.8516458538	fiber bragg gratings
0.8516027983	reversible data hiding
0.8514863797	wide range
0.8513472984	invited paper
0.8513442599	ring resonators
0.8512916360	contrast enhanced ultrasound
0.8512587794	boron nitride
0.8510808370	earth observation
0.8510112901	doubly salient
0.8510045014	motion capture
0.8509011157	keynote speakers
0.8506929511	photovoltaic modules
0.8506537964	vector network analyzer
0.8506473020	inertial sensor
0.8506381813	logic gates
0.8505834078	long range
0.8505590272	single carrier
0.8505498885	blood glucose
0.8505233381	matrix factorization
0.8505193590	mobile crowdsensing
0.8504825873	monte carlo simulation
0.8504446873	photovoltaic panels
0.8503832754	aware routing
0.8503550348	data driven
0.8502558442	mimo antenna
0.8501823697	integral equation
0.8501454665	search engine
0.8501055860	connected vehicles
0.8501010133	delay line
0.8499766135	machine type communications
0.8499545080	power supplies
0.8499304616	dynamical systems
0.8498848773	hall effect
0.8497609639	patch antennas
0.8496695433	color space
0.8496088806	spectrum allocation
0.8496050626	sentiment classification
0.8494683806	ofdm systems
0.8493522692	electric arc
0.8493460813	android apps
0.8492579595	coded caching
0.8492432105	solder joints
0.8491464902	gain enhancement
0.8489109255	islanded microgrid
0.8488716972	carrier frequency offset
0.8487631188	deep residual
0.8486622821	rectangular waveguide
0.8484418969	power management
0.8484402120	velocity estimation
0.8482456009	active learning
0.8482134965	cloud environment
0.8481795218	lung cancer
